Altium Designer Pick and Place Locations,,,,,,,,,
,,,,,,,,,
========================================================================================================================,,,,,,,,,
File Design Information:,,,,,,,,,
,,,,,,,,,
Date:       22/06/25,,,,,,,,,
Time:       22:49,,,,,,,,,
Revision:   Not in VersionControl,,,,,,,,,
Variant:    No variations,,,,,,,,,
Units used: mm,,,,,,,,,
,,,,,,,,,
Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description,,
,Comment,TopLayer,LOGO_USB1,0,0,0,,,
C15,Capacitor Tantalum SMD,BottomLayer,Tan_1206_(3216X18L)_Size_A,100.457,86.9922,90,Capacitor Tantalum SMD,,
C14,Capacitor Tantalum SMD,BottomLayer,Tan_1206_(3216X18L)_Size_A,100.615,71.9192,90,Capacitor Tantalum SMD,,
C13,Capacitor Tantalum SMD,BottomLayer,Tan_1206_(3216X18L)_Size_A,100.457,104.3492,90,Capacitor Tantalum SMD,,
U8,SD CARD SPI MODE,BottomLayer,MICRO_SD,114.9026,97.4662,270,SD CARD SPI MODE,,
R19,10K,BottomLayer,RES_0805,105.711,95.3199,270,RESISTOR,,
R18,10K,BottomLayer,RES_0805,105.711,100.1332,270,RESISTOR,,
R17,10K,BottomLayer,RES_0805,105.711,102.3493,270,RESISTOR,,
R16,10K,BottomLayer,RES_0805,105.711,97.536,270,RESISTOR,,
C24,100nf,BottomLayer,CAP0805,105.711,92.311,360,Capacitor,,
U7,NRF24L01,BottomLayer,NRF24L01_GT24MINI_MS,96.06,108.301,180,"2.4GHz Transceiver MODULE, SMD",,
U6,NRF24L01,BottomLayer,NRF24L01_GT24MINI_MS,96.06,76.469,180,"2.4GHz Transceiver MODULE, SMD",,
U5,NRF24L01,BottomLayer,NRF24L01_GT24MINI_MS,96.06,92.413,180,"2.4GHz Transceiver MODULE, SMD",,
CHG,LED,BottomLayer,L0805,112.903,44.389,90,LED,,
STD,LED,BottomLayer,L0805,115.697,44.389,90,LED,,
STD2,LED,TopLayer,L0805,79.949,105.41,360,LED,,
STD1,LED,TopLayer,L0805,79.949,102.362,360,LED,,
U3,LF33,BottomLayer,D-PACK,88.0835,54.98,360,3.3V VOLTAGE REGULATOR,,
U2,CP2102,BottomLayer,QFN28G_0.5-5X5MM,105.029,55.245,90,"USB Bridge, USB to UART USB 2.0 UART Interface 28-QFN _5x5_",,
U1,ESP32-WROOM-32U,BottomLayer,XCVR_ESP32-WROOM-32U,114.153,77.824,90,"Bluetooth, WiFi 802.11b/g/n, Bluetooth v4.2 +EDR, Class 1, 2 and 3 Transceiver Module 2.4GHz ~ 2.5GHz Antenna Not Included, U.FL Surface Mount",,
SW1,SlideSwitch,BottomLayer,SWSLIDT_SPDT_MSS3,78.886,56.388,270,"SWITCH, SLIDE, SPDT, SMD",,
R12,1k,BottomLayer,RES_0805,117.435,62.468,180,RESISTOR,,
R11,1k,BottomLayer,RES_0805,119.975,49.85,360,RESISTOR,,
R10,1k,BottomLayer,RES_0805,117.435,49.85,360,RESISTOR,,
R9,1k,TopLayer,RES_0805,78.999,82.616,360,RESISTOR,,
R8,5.1k,BottomLayer,RES_0805,94.869,44.389,180,RESISTOR,,
R7,5.1k,BottomLayer,RES_0805,107.95,44.389,180,RESISTOR,,
R6,1k,TopLayer,RES_0805,81.666,82.611,360,RESISTOR,,
R5,12k,BottomLayer,RES_0805,106.238,64.008,270,RESISTOR,,
R4,12k,BottomLayer,RES_0805,106.238,61.25,90,RESISTOR,,
R3,4.7k,TopLayer,RES_0805,118.237,110.705,360,RESISTOR,,
R2,470,BottomLayer,RES_0805,112.522,55.695,360,RESISTOR,,
R1,4.7k,BottomLayer,RES_0805,116.73,113.931,270,RESISTOR,,
Q2,S8050,BottomLayer,SOT-23,101.727,62.596,270,Bipolar (BJT) Transistor NPN 25 V 500 mA 150MHz 300 mW Surface Mount SOT-23,,
Q1,S8050,BottomLayer,SOT-23,110.998,62.596,90,Bipolar (BJT) Transistor NPN 25 V 500 mA 150MHz 300 mW Surface Mount SOT-23,,
J1,TYPE-C-31-M-12,BottomLayer,HRO_TYPE-C-31-M-12,101.473,44.666,180,USB Connectors 24 Receptacle 1 8.94*7.3mm RoHS,,
IC1,TP4056,BottomLayer,SOP-8,118.578,56.266,270,Complete single cell Li-Ion battery with a constant current / constant voltage linear charger,,
C12,100nf,BottomLayer,CAP0805,122.301,56.134,270,Capacitor,,
C11,10uf,BottomLayer,CAP_1206_(3216X15L),91.6935,60.974,180,Capacitor,,
